,Name,main_category,sub_category,Image,link,ratings,no_of_ratings,discount_price,actual_price
15,Nokia 150 (2020) (Red),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61i+HI-zPwL._AC_UL800_.jpg,https://www.amazon.in/Nokia-150-Red/dp/B08H1Z5Y9Z/ref=sr_1_5020?qid=1679133964&s=electronics&sr=1-5020,3.9,"14,665",,
16,TVS ELECTRONICS Champ Heavy Duty Membrane Wired Keyboard | Array of 104 Keys |Multimedia Functions|Membrane Keys| Compatib...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71B2NyFN9FL._AC_UL800_.jpg,https://www.amazon.in/TVS-Electronics-Keyboard-Function-Enabled-Multimedia/dp/B08B4T4TFR/ref=sr_1_5021_mod_primary_new?qid=1679133964&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5021,3.8,"1,106",₹799,₹995
17,TVS ELECTRONICS Champ Heavy Duty Membrane Wired Keyboard | Array of 104 Keys |Multimedia Functions|Membrane Keys| Compatib...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71B2NyFN9FL._AC_UL800_.jpg,https://www.amazon.in/TVS-Electronics-Keyboard-Function-Enabled-Multimedia/dp/B08B4T4TFR/ref=sr_1_5019_mod_primary_new?qid=1679133966&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5019,3.8,"1,106",₹799,₹995
18,"COOLCOLD USB Mic, Mic for PC, Microphone for PC, Noise Cancelling USB Microphone, Recording Mic for Laptop Desktop Mac, Pl...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61mZGKxGX2S._AC_UL800_.jpg,https://www.amazon.in/COOLCOLD-Cancelling-Microphone-Professional-Computer/dp/B08H2FJQ9Y/ref=sr_1_5020?qid=1679133966&s=electronics&sr=1-5020,3.9,"2,095",₹599,"₹1,999"
19,"Epson 005 120 ml Black Ink Bottle, Compatible with M1100/M1120/M2140 Epson Printer Models","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41joDDreiNL._AC_UL800_.jpg,https://www.amazon.in/Epson-005-120-Black-Bottle/dp/B07Q6XPMFR/ref=sr_1_5021_mod_primary_new?qid=1679133966&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5021,4.2,593,₹855,"₹1,400"
20,"TECHONTO 22MM Watch Band Strap with Stainless Steel Buckle Compatible with ColorFit Pro 4/Pro 4 Max/Ultra/Ultra 2, Amazfit...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51Xmoc38ErL._AC_UL800_.jpg,https://www.amazon.in/TECHONTO-22MM-Stainless-Compatible-ColorFit/dp/B09VC6VRVL/ref=sr_1_5022?qid=1679133966&s=electronics&sr=1-5022,4,572,₹250,"₹1,099"
21,TheGiftKart Tough Armor Bumper Back Case Cover for Mi Redmi Note 12 PRO 5G | Ring Holder & Kickstand in-Built | 360 Degree...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61hJ-wa+Y7L._AC_UL800_.jpg,https://www.amazon.in/TheGiftKart-Bumper-Holder-Kickstand-Protection/dp/B0BRXGL613/ref=sr_1_5023?qid=1679133966&s=electronics&sr=1-5023,4.7,32,₹329,₹999
22,"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Blue)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61yHdvSGj8L._AC_UL800_.jpg,https://www.amazon.in/Nokia-C01-Screen-Selfie-Storage/dp/B09VCBGWFZ/ref=sr_1_5024?qid=1679133966&s=electronics&sr=1-5024,3.4,"3,361","₹5,779","₹7,999"
23,POPIO Screen Protector Tempered Glass Compatible for Samsung Galaxy M51 / A71 / Note 10 Lite (Transparent) Full Screen Cov...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61pqkDPY-JL._AC_UL800_.jpg,https://www.amazon.in/POPIO-Tempered-Samsung-Transparent-Coverage/dp/B08D7CWF7J/ref=sr_1_5025?qid=1679133966&s=electronics&sr=1-5025,4,"3,662",₹219,₹599
24,TheGiftKart Ultra-Hybrid Crystal Clear Back Cover Case for OnePlus 7 | 360 Degree Protection | Shockproof Design | Hard Ba...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51oSG6Jb+dL._AC_UL800_.jpg,https://www.amazon.in/TheGiftKart-Ultra-Hybrid-Protection-Shockproof-Transparent/dp/B0BV6WJCVL/ref=sr_1_5026?qid=1679133966&s=electronics&sr=1-5026,5,2,₹284,₹999
25,TheGiftKart Sleek Back Cover Case for Google Pixel 7 | Slim Fit Protective Design | Ultra Matte Finish | Camera Protection...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61yKJrTRoxL._AC_UL800_.jpg,https://www.amazon.in/TheGiftKart-Protective-Protection-Silicon-Silicone/dp/B0BH8SVXGG/ref=sr_1_5027?qid=1679133966&s=electronics&sr=1-5027,4.4,124,₹284,₹999
26,SAFWE – SM-02 - Speaker Wall Mount Stand - Bracket 2 Nos for 5 mm & 6.35mm (¼ inch) Thread Hole/Keyhole Speakers Universal...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81tT4L1ASnL._AC_UL800_.jpg,https://www.amazon.in/Protego-Satellite-Speaker-Universal-Speakers/dp/B07L97H18D/ref=sr_1_5028?qid=1679133966&s=electronics&sr=1-5028,4.5,"1,420",₹699,"₹1,499"
27,"Redgear Grim V2 Wired Gaming Keyboard with Double Injected Keycaps, Floating Keycaps, Ergonomic Design, 3 Mix LED Modes an...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61OPwKJlJ5L._AC_UL800_.jpg,https://www.amazon.in/Redgear-Grim-Keyboard-Injected-Ergonomic/dp/B09FLR7927/ref=sr_1_5029?qid=1679133966&s=electronics&sr=1-5029,4.3,484,₹799,"₹1,299"
28,Parker Jotter Standard CT Ball Pen (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51H2NJN9B-L._AC_UL800_.jpg,https://www.amazon.in/Parker-Jotter-Standard-Ball-Black/dp/B00LZPQK4E/ref=sr_1_5030?qid=1679133966&s=electronics&sr=1-5030,4.2,"7,036",,₹285
29,"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 3...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61QrZOUhfVL._AC_UL800_.jpg,https://www.amazon.in/Sony-Headphones-Customizable-Equalizer-DSEE-Upscale/dp/B09YLCXLKY/ref=sr_1_5031?qid=1679133966&s=electronics&sr=1-5031,3.6,"3,259","₹1,399","₹2,790"
30,"True Desire Ultra Premium Microfiber Cleaning Cloth for Mobile Screen, Camera Lenses, Tablets, Monitors, Electronics Etc (...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61YpCor+JJL._AC_UL800_.jpg,https://www.amazon.in/True-Desire-Microfiber-Cleaning-Electronics/dp/B08LVPT3GG/ref=sr_1_5032?qid=1679133966&s=electronics&sr=1-5032,4.2,374,₹196,₹399
31,"(Renewed) boAt Rockerz 370 5.0 Bluetooth Wireless Over Ear Headphones With Mic, Immersive Audio, Lightweight Ergonomic Des...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/514GO7ZwSYL._AC_UL800_.jpg,https://www.amazon.in/Rockerz-Headphone-Bluetooth-Immersive-Lightweight/dp/B08HQW1W1Q/ref=sr_1_5033?qid=1679133966&s=electronics&sr=1-5033,3.5,780,₹845,"₹2,499"
32,Uniball Eye Ub-150 Blue [Pack Of 3] Micro 0.5mm Tip Rollerball Pen,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/31D7yo2nLqL._AC_UL800_.jpg,https://www.amazon.in/Uniball-Ub-150-Micro-0-5mm-Rollerball/dp/B00J4LA9TI/ref=sr_1_5034?qid=1679133966&s=electronics&sr=1-5034,4.4,"1,205",,₹225
33,D'Addario EJ26 Acoustic 11-52 Custom Light Guitar Strings,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71HUjfm7vQL._AC_UL800_.jpg,https://www.amazon.in/DAddario-EJ26-Acoustic-Custom-Strings/dp/B0002H0A3S/ref=sr_1_5035_mod_primary_new?qid=1679133966&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5035,4.4,"34,574",₹565,₹710
34,"Brother DCP-T525W - Wi-Fi Color Ink Tank Multifunction (Print, Scan & Copy) All in One Printer for Home & Office","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61lk9CNDVXL._AC_UL800_.jpg,https://www.amazon.in/Brother-DCP-T525W-Multifunction-Printer-Office/dp/B0B5XRRR5B/ref=sr_1_5036?qid=1679133966&s=electronics&sr=1-5036,4.2,221,"₹14,599","₹17,790"
35,"TheGiftKart Back Cover for Redmi Note 7 / 7S / Note 7 Pro (TPU, Poly Carbonate | Black, Transparent)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51WYzEyGILL._AC_UL800_.jpg,https://www.amazon.in/TheGiftKart-Back-Cover-Lenovo-A6000/dp/B019HANE4M/ref=sr_1_5037?qid=1679133966&s=electronics&sr=1-5037,4.2,655,₹299,₹999
36,"Redmi Note 11 Pro (Phantom White, 8GB RAM, 128GB Storage)| 67W Turbo Charge | 120Hz Super AMOLED Display | Charger Include...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71p1lN88RoL._AC_UL800_.jpg,https://www.amazon.in/Redmi-Phantom-Storage-Display-Included/dp/B09T2XFFCG/ref=sr_1_5038?qid=1679133966&s=electronics&sr=1-5038,4,"3,476","₹19,999","₹24,999"
